relid,year,type_of_violence,best
USA-2009-1-360-19,2009,1,8
USA-2009-1-360-20,2009,1,6
USA-2009-1-360-23,2009,1,19
USA-2009-1-360-21,2009,1,5
USA-2010-1-360-111,2010,1,0
USA-2010-1-360-23,2010,1,0
USA-2009-1-360-22,2009,1,4
USA-2009-1-360-24,2009,1,6
USA-2009-1-360-25,2009,1,3
USA-2009-1-360-28,2009,1,3
USA-2009-1-360-27,2009,1,0
USA-2009-1-360-29,2009,1,8
USA-2009-1-360-30,2009,1,2
USA-2009-1-360-32,2009,1,2
USA-2009-1-360-35,2009,1,0
USA-2009-1-360-31,2009,1,15
USA-2009-1-360-33,2009,1,5
USA-2010-1-360-2,2010,1,5
USA-2010-1-360-3,2010,1,13
USA-2010-1-360-4,2010,1,0
USA-2010-1-360-8,2010,1,0
USA-2010-1-360-5,2010,1,12
USA-2010-1-360-9,2010,1,5
USA-2010-1-360-10,2010,1,0
USA-2010-1-360-13.1,2010,1,5
USA-2010-1-360-11,2010,1,23
USA-2010-1-360-16,2010,1,3
USA-2010-1-360-18,2010,1,6
USA-2010-1-360-31,2010,1,0
USA-2010-1-360-19,2010,1,6
USA-2010-1-360-26,2010,1,0
USA-2010-1-360-27,2010,1,4
USA-2010-1-360-29,2010,1,0
USA-2010-1-360-30,2010,1,0
USA-2010-1-360-38,2010,1,0
USA-2010-1-360-39,2010,1,0
USA-2010-1-360-32,2010,1,6
USA-2010-1-360-34,2010,1,0
USA-2010-1-360-35,2010,1,0
USA-2010-1-360-40,2010,1,0
USA-2010-1-360-36,2010,1,0
USA-2010-1-360-70,2010,1,0
USA-2010-1-360-43,2010,1,0
USA-2010-1-360-47,2010,1,0
USA-2010-1-360-49,2010,1,17
USA-2010-1-360-53,2010,1,10
USA-2010-1-360-46,2010,1,3
USA-2010-1-360-48,2010,1,0
USA-2010-1-360-50,2010,1,0
USA-2010-1-360-51,2010,1,0
USA-2010-1-360-52,2010,1,10
USA-2010-1-360-54,2010,1,14
USA-2010-1-360-59,2010,1,0
USA-2010-1-360-55,2010,1,0
USA-2010-1-360-74,2010,1,0
USA-2010-1-360-71,2010,1,3
USA-2010-1-360-72,2010,1,21
USA-2010-1-360-75,2010,1,0
USA-2010-1-360-76,2010,1,0
USA-2010-1-360-78,2010,1,0
USA-2010-1-360-77,2010,1,4
USA-2010-1-360-79,2010,1,0
USA-2010-1-360-80,2010,1,4
USA-2010-1-360-85,2010,1,18
USA-2011-1-360-17,2011,1,8
USA-2010-1-360-87,2010,1,0
USA-2010-1-360-90,2010,1,0
USA-2010-1-360-86,2010,1,8
USA-2010-1-360-88,2010,1,0
USA-2010-1-360-91,2010,1,4
USA-2011-1-360-21,2011,1,4
USA-2010-1-360-92,2010,1,5
USA-2010-1-360-93,2010,1,0
USA-2010-1-360-98,2010,1,2
USA-2010-1-360-95,2010,1,0
USA-2010-1-360-96,2010,1,0
USA-2010-1-360-97,2010,1,0
USA-2010-1-360-99,2010,1,0
USA-2010-1-360-101,2010,1,0
USA-2010-1-360-104,2010,1,4
USA-2010-1-360-105,2010,1,0
USA-2010-1-360-107,2010,1,4
USA-2010-1-360-108,2010,1,6
USA-2010-1-360-110,2010,1,0
USA-2010-1-360-109,2010,1,5
USA-2010-1-360-115,2010,1,0
USA-2010-1-360-113,2010,1,6
USA-2010-1-360-114,2010,1,0
USA-2010-1-360-116,2010,1,0
USA-2010-1-360-117,2010,1,0
USA-2010-1-360-120,2010,1,0
USA-2010-1-360-119,2010,1,0
USA-2010-1-360-121,2010,1,0
USA-2011-1-360-6,2011,1,5
USA-2011-1-360-9,2011,1,5
USA-2011-1-360-10,2011,1,0
USA-2011-1-360-11,2011,1,7
USA-2011-1-360-12,2011,1,8
USA-2011-1-360-13,2011,1,6
USA-2011-1-360-19,2011,1,0
USA-2011-1-360-15,2011,1,25
USA-2011-1-360-16,2011,1,17
USA-2011-1-360-18,2011,1,3
USA-2011-1-360-20,2011,1,0
USA-2011-1-360-24,2011,1,22
USA-2011-1-360-30,2011,1,0
USA-2011-1-360-23,2011,1,3
USA-2011-1-360-26,2011,1,5
USA-2011-1-360-27,2011,1,4
USA-2011-1-360-31,2011,1,4
USA-2011-1-360-33,2011,1,3
USA-2011-1-360-35,2011,1,4
USA-2012-1-360-42,2012,1,4
USA-2012-1-360-10,2012,1,4
USA-2012-1-360-24,2012,1,5
USA-2012-1-360-9,2012,1,4
USA-2012-1-360-11,2012,1,5
